# This file was translated by:
# $ sed 's/\;$//;s/\;/ /g;/^13/s/^....//;s/\./ /' O:/temp/KMO/Oct27-13-30-5min.txt | awk '{print 60*$1+$2,$3,$4,$5,$6}' | sed '1 s/^0/#time Rx/' > Oct27-13-20-5min.asc
#
#time Rx Ry Tx Ty 
0.01 0.00233150017044354 0 0.0896965332435683 -0.022430057958017
0.02 0.00233071374793731 0 0.089661910237273 -0.022430057958017
0.03 0.00232912010246956 0 0.08959174846555 -0.022430057958017
0.04 0.00232838364947376 0 0.0895593254165416 -0.022430057958017
0.05 0.00232681517609661 0 0.0894902718695197 -0.022430057958017
0.06 0.00232602764295577 0 0.0894555999685368 -0.022430057958017
0.07 0.00232442682022992 0 0.0893851222107404 -0.022430057958017
0.08 0.00232353200503132 0 0.0893457271128474 -0.022430057958017
0.09 0.00232188346680206 0 0.0892731486345805 -0.022430057958017
0.1 0.0023212454731336 0 0.0892450603509367 -0.022430057958017
0.11 0.00231973962624566 0 0.0891787639950633 -0.022430057958017
0.12 0.0023190269911328 0 0.0891473895500608 -0.022430057958017
0.13 0.00231749778992729 0 0.0890800649993394 -0.022430057958017
0.14 0.00231696962858698 0 0.0890568121902788 -0.022430057958017
0.15 0.00231557332526577 0 0.0889953385959257 -0.022430057958017
0.16 0.00231489881491183 0 0.0889656426289333 -0.022430057958017
0.17 0.00231341657767976 0 0.0889003857120408 -0.022430057958017
0.18 0.00231287717949487 0 0.0888766381903742 -0.022430057958017
0.19 0.00231153264529456 0 0.08881744378064 -0.022430057958017
0.2 0.002310881010023 0 0.0887887549110966 -0.022430057958017
0.21 0.00230946434731742 0 0.0887263849761892 -0.022430057958017
0.22 0.00230892323956718 0 0.0887025621891974 -0.022430057958017
0.23 0.00230756003222102 0 0.0886425456764394 -0.022430057958017
0.24 0.00230710247143714 0 0.0886224011232489 -0.022430057958017
0.25 0.00230583141789115 0 0.0885664417709527 -0.022430057958017
0.26 0.00230530392254784 0 0.0885432182815274 -0.022430057958017
0.27 0.0023040139320602 0 0.08848642521284 -0.022430057958017
0.28 0.00230353685073976 0 0.0884654212490956 -0.022430057958017
0.29 0.00230231552193973 0 0.0884116510764723 -0.022430057958017
0.3 0.00230203653622662 0 0.0883993684621511 -0.022430057958017
0.31 0.00230096176901739 0 0.088352050805316 -0.022430057958017
0.32 0.00230052524993644 0 0.0883328326323249 -0.022430057958017
0.33 0.00229938973294511 0 0.0882828404075909 -0.022430057958017
0.34 0.00229902087623405 0 0.0882666011358373 -0.022430057958017
0.35 0.0022979557229521 0 0.0882197067407033 -0.022430057958017
0.36 0.00229765840713143 0 0.0882066171251499 -0.022430057958017
0.37 0.00229664928814482 0 0.0881621896936604 -0.022430057958017
0.38 0.00229642912212765 0 0.0881524966735947 -0.022430057958017
0.39 0.00229548922685498 0 0.0881111168823512 -0.022430057958017
0.4 0.00229534996285671 0 0.0881049856503815 -0.022430057958017
0.41 0.0022944637410213 0 0.0880659688828821 -0.022430057958017
0.42 0.00229420595761723 0 0.0880546197216672 -0.022430057958017
0.43 0.00229328032021451 0 0.0880138676474213 -0.022430057958017
0.44 0.00229302804483729 0 0.0880027609802105 -0.022430057958017
0.45 0.0022921444591757 0 0.0879638602744594 -0.022430057958017
0.46 0.00229205626921756 0 0.0879599776264236 -0.022430057958017
0.47 0.00229125376880564 0 0.0879246467757954 -0.022430057958017
0.48 0.00229118726346327 0 0.0879217188130875 -0.022430057958017
0.49 0.00229039575224206 0 0.0878868717716536 -0.022430057958017
0.5 0.00229027866128665 0 0.0878817167310313 -0.022430057958017
0.51 0.00228945932476758 0 0.0878456446539814 -0.022430057958017
0.52 0.00228940074804816 0 0.0878430657579427 -0.022430057958017
0.53 0.00228856349268949 0 0.0878062047868923 -0.022430057958017
0.54 0.00228833580218673 0 0.0877961804926258 -0.022430057958017
0.55 0.00228743923767361 0 0.0877567083794798 -0.022430057958017
0.56 0.002287262129891 0 0.0877489110409508 -0.022430057958017
0.57 0.00228640257548354 0 0.0877110683314585 -0.022430057958017
0.58 0.00228630507093977 0 0.0877067756006513 -0.022430057958017
0.59 0.00228548873885611 0 0.0876708357978218 -0.022430057958017
0.6 0.00228534527950494 0 0.0876645198616961 -0.022430057958017
0.61 0.0022844997351195 0 0.0876272939592976 -0.022430057958017
0.62 0.00228452021585651 0 0.0876281956423203 -0.022430057958017
0.63 0.00228381037077532 0 0.087596944030485 -0.022430057958017
0.64 0.00228385695071547 0 0.0875989947580367 -0.022430057958017
0.65 0.00228317712339447 0 0.0875690647084073 -0.022430057958017
0.66 0.00228324121097765 0 0.0875718862246993 -0.022430057958017
0.67 0.00228258934920958 0 0.0875431873837395 -0.022430057958017
0.68 0.00228275011699973 0 0.0875502653399781 -0.022430057958017
0.69 0.00228217139570943 0 0.0875247865815984 -0.022430057958017
0.7 0.00228230801238709 0 0.0875308012613718 -0.022430057958017
0.71 0.00228172036552057 0 0.0875049295444412 -0.022430057958017
0.72 0.00228179881454646 0 0.0875083833367568 -0.022430057958017
0.73 0.00228119606249603 0 0.0874818465987468 -0.022430057958017
0.74 0.00228145148476192 0 0.087493091810393 -0.022430057958017
0.75 0.00228097628118021 0 0.0874721705162754 -0.022430057958017
0.76 0.00228119378298463 0 0.0874817462421063 -0.022430057958017
0.77 0.00228065097820673 0 0.0874578487402198 -0.022430057958017
0.78 0.00228087984346435 0 0.0874679247539302 -0.022430057958017
0.79 0.00228036137614323 0 0.0874450987317144 -0.022430057958017
0.8 0.00228054003521646 0 0.0874529643692489 -0.022430057958017
0.81 0.00228001471719327 0 0.087429836738242 -0.022430057958017
0.82 0.0022803931431205 0 0.0874464973029849 -0.022430057958017
0.83 0.00228005134187378 0 0.087431449175268 -0.022430057958017
0.84 0.00228046412920405 0 0.0874496225346998 -0.022430057958017
