#FEDEM	R7.2.1  6 jan 2017 11:53:51
#PARENT	D:\Src\ftKernel.git\solverTests\CamJoint\PearCamWithFriction.fmm
#FILE 	D:\Src\ftKernel.git\solverTests\CamJoint\SystemEnergy_R253.asc
#USER 	kmo
#DATE 	Wed Sep 19 08:52:44 2018
#
#DESCRIPTION	Checksum_ref	Friction_loss_ref	Input_ref	Loss_ref	Strain_ref
5.50000000e-02	2.23810949e-09	8.90187087e-14	1.57429634e-06	1.55261378e-09	1.25492897e-09
5.60000000e-02	2.25149195e-09	9.84666905e-14	1.63151958e-06	1.55526772e-09	1.26846681e-09
5.70000000e-02	2.27092026e-09	1.08149634e-13	1.68976200e-06	1.55802740e-09	1.28281644e-09
5.80000000e-02	2.28697800e-09	1.18104738e-13	1.74902845e-06	1.56089493e-09	1.29800990e-09
5.90000000e-02	2.30769791e-09	1.28266956e-13	1.80931482e-06	1.56387230e-09	1.31407976e-09
6.00000000e-02	2.32633926e-09	1.38676021e-13	1.87062461e-06	1.56696163e-09	1.33105933e-09
6.10000000e-02	2.34864017e-09	1.49334420e-13	1.93295487e-06	1.57016497e-09	1.34898240e-09
6.20000000e-02	2.36981962e-09	1.60248068e-13	1.99630810e-06	1.57348440e-09	1.36788346e-09
6.30000000e-02	2.39397777e-09	1.71461799e-13	2.06068220e-06	1.57692203e-09	1.38779758e-09
6.40000000e-02	2.41771875e-09	1.82940250e-13	2.12607894e-06	1.58047989e-09	1.40876044e-09
6.50000000e-02	2.44403248e-09	1.94687990e-13	2.19249678e-06	1.58416004e-09	1.43080837e-09
6.60000000e-02	2.47048563e-09	2.06709688e-13	2.25993700e-06	1.58796456e-09	1.45397829e-09
6.70000000e-02	2.49913876e-09	2.19010119e-13	2.32839858e-06	1.59189550e-09	1.47830776e-09
6.80000000e-02	2.52832628e-09	2.31594163e-13	2.39788238e-06	1.59595496e-09	1.50383492e-09
6.90000000e-02	2.55955753e-09	2.44414525e-13	2.46838765e-06	1.60014493e-09	1.53059857e-09
7.00000000e-02	2.59162560e-09	2.57527829e-13	2.53991503e-06	1.60446754e-09	1.55863808e-09
7.10000000e-02	2.62561520e-09	2.70937136e-13	2.61246399e-06	1.60892486e-09	1.58799353e-09
7.20000000e-02	2.66065873e-09	2.84649882e-13	2.68603501e-06	1.61351896e-09	1.61870550e-09
7.30000000e-02	2.69758666e-09	2.98669249e-13	2.76062767e-06	1.61825191e-09	1.65081524e-09
7.40000000e-02	2.73583267e-09	3.13003006e-13	2.83624227e-06	1.62312577e-09	1.68436467e-09
7.50000000e-02	2.77594544e-09	3.27718229e-13	2.91287856e-06	1.62814268e-09	1.71939626e-09
7.60000000e-02	2.81750247e-09	3.42760108e-13	2.99053679e-06	1.63330466e-09	1.75595311e-09
7.70000000e-02	2.86092045e-09	3.58134547e-13	3.06921678e-06	1.63861376e-09	1.79407899e-09
7.80000000e-02	2.90596632e-09	3.73847570e-13	3.14891866e-06	1.64407206e-09	1.83381820e-09
7.90000000e-02	2.95294483e-09	3.89833034e-13	3.22964228e-06	1.64968156e-09	1.87521573e-09
8.00000000e-02	3.00173321e-09	4.06168585e-13	3.31138773e-06	1.65544439e-09	1.91831717e-09
8.10000000e-02	3.05253640e-09	4.22934739e-13	3.39415492e-06	1.66136271e-09	1.96316875e-09
8.20000000e-02	3.10519061e-09	4.40064818e-13	3.47794400e-06	1.66743852e-09	2.00981726e-09
8.30000000e-02	3.15987580e-09	4.57565479e-13	3.56275490e-06	1.67367387e-09	2.05831014e-09
8.40000000e-02	3.21659181e-09	4.75443508e-13	3.64858761e-06	1.68007084e-09	2.10869550e-09
8.50000000e-02	3.27543160e-09	4.93619358e-13	3.73544215e-06	1.68663143e-09	2.16102198e-09
8.60000000e-02	3.33633633e-09	5.12185534e-13	3.82331857e-06	1.69335777e-09	2.21533890e-09
8.70000000e-02	3.39946184e-09	5.31237733e-13	3.91221682e-06	1.70025204e-09	2.27169618e-09
8.80000000e-02	3.46483585e-09	5.50601569e-13	4.00213688e-06	1.70731612e-09	2.33014437e-09
8.90000000e-02	3.53260902e-09	5.70377674e-13	4.09307869e-06	1.71455219e-09	2.39073463e-09
9.00000000e-02	3.60274231e-09	5.90670034e-13	4.18504231e-06	1.72196239e-09	2.45351873e-09
