#######################
#Submodel interface points and related nodes for subelement: 02_02_Submodel_Course
#######################
#Interface Point: 1 (Nodes in group: 294)
#######################
#IntPt, NodeID,   X,   Y,   Z
#######################
1,   28297,     .05,    .018,     .55
1,   28298,     .05,    .014,     .55
1,   28299,     .05,     .01,     .55
1,   28300,     .05,   6.0-3,     .55
1,   28301,     .05,   2.0-3,     .55
1,   28302,     .05,  -2.0-3,     .55
1,   28303,     .05,  -6.0-3,     .55
1,   28304,     .05,    -.01,     .55
1,   28305,     .05,   -.014,     .55
1,   28306,     .05,   -.018,     .55
1,   28307,     .05,   -.022,     .55
1,   28308,     .05,   -.026,     .55
1,   28433,     .15,-.033902,.3503843
1,   28434,     .15,-.037654,.3515224
1,   28435,     .15,-.041111,.3533706
1,   28436,     .15,-.044142,.3558579
1,   28437,     .15,-.046629,.3588886
1,   28438,     .15,-.048478,.3623463
1,   28439,     .15,-.049616,.3660982
1,   28440,     .15,-.049616,.4339018
1,   28441,     .15,-.048478,.4376537
1,   28442,     .15,-.046629,.4411114
1,   28443,     .15,-.044142,.4441421
1,   28444,     .15,-.041111,.4466294
1,   28445,     .15,-.037654,.4484776
1,   28446,     .15,-.033902,.4496157
1,   28447,     .15,    .026,     .35
1,   28448,     .15,    .022,     .35
1,   28449,     .15,    .018,     .35
1,   28450,     .15,    .014,     .35
1,   28451,     .15,     .01,     .35
1,   28452,     .15,   6.0-3,     .35
1,   28453,     .15,   2.0-3,     .35
1,   28454,     .15,  -2.0-3,     .35
1,   28455,     .15,  -6.0-3,     .35
1,   28456,     .15,    -.01,     .35
1,   28457,     .15,   -.014,     .35
1,   28458,     .15,   -.018,     .35
1,   28459,     .15,   -.022,     .35
1,   28460,     .15,   -.026,     .35
1,   28461,     .15,   -.026,     .45
1,   28462,     .15,   -.022,     .45
1,   28463,     .15,   -.018,     .45
1,   28464,     .15,   -.014,     .45
1,   28465,     .15,    -.01,     .45
1,   28466,     .15,  -6.0-3,     .45
1,   28467,     .15,  -2.0-3,     .45
1,   28468,     .15,   2.0-3,     .45
1,   28469,     .15,   6.0-3,     .45
1,   28470,     .15,     .01,     .45
1,   28471,     .15,    .014,     .45
1,   28472,     .15,    .018,     .45
1,   28473,     .15,    .022,     .45
1,   28474,     .15,    .026,     .45
1,   28475,     .15,.0496157,.3660982
1,   28476,     .15,.0484776,.3623463
1,   28477,     .15,.0466294,.3588886
1,   28478,     .15,.0441421,.3558579
1,   28479,     .15,.0411114,.3533706
1,   28480,     .15,.0376537,.3515224
1,   28481,     .15,.0339018,.3503843
1,   28482,     .15,.0339018,.4496157
1,   28483,     .15,.0376537,.4484776
1,   28484,     .15,.0411114,.4466294
1,   28485,     .15,.0441421,.4441421
1,   28486,     .15,.0466294,.4411114
1,   28487,     .15,.0484776,.4376537
1,   28488,     .15,.0496157,.4339018
1,   30651,     .15,    -.05,   .3725
1,   30652,     .15,    -.05,    .375
1,   30653,     .15,    -.05,   .3775
1,   30654,     .15,    -.05,     .38
1,   30655,     .15,    -.05,   .3825
1,   30656,     .15,    -.05,    .385
1,   30657,     .15,    -.05,   .3875
1,   30658,     .15,    -.05,     .39
1,   30659,     .15,    -.05,   .3925
1,   30660,     .15,    -.05,    .395
1,   30661,     .15,    -.05,   .3975
1,   30662,     .15,    -.05,   .4025
1,   30663,     .15,    -.05,    .405
1,   30664,     .15,    -.05,   .4075
1,   30665,     .15,    -.05,     .41
1,   30666,     .15,    -.05,   .4125
1,   30667,     .15,    -.05,    .415
1,   30668,     .15,    -.05,   .4175
1,   30669,     .15,    -.05,     .42
1,   30670,     .15,    -.05,   .4225
1,   30671,     .15,    -.05,    .425
1,   30672,     .15,    -.05,   .4275
1,   30673,     .15,     .05,   .3975
1,   30674,     .15,     .05,    .395
1,   30675,     .15,     .05,   .3925
1,   30676,     .15,     .05,     .39
1,   30677,     .15,     .05,   .3875
1,   30678,     .15,     .05,    .385
1,   30679,     .15,     .05,   .3825
1,   30680,     .15,     .05,     .38
1,   30681,     .15,     .05,   .3775
1,   30682,     .15,     .05,    .375
1,   30683,     .15,     .05,   .3725
1,   30684,     .15,     .05,   .4275
1,   30685,     .15,     .05,    .425
1,   30686,     .15,     .05,   .4225
1,   30687,     .15,     .05,     .42
1,   30688,     .15,     .05,   .4175
1,   30689,     .15,     .05,    .415
1,   30690,     .15,     .05,   .4125
1,   30691,     .15,     .05,     .41
1,   30692,     .15,     .05,   .4075
1,   30693,     .15,     .05,    .405
1,   30694,     .15,     .05,   .4025
1,   31205,    -.05,    -.03,     .25
1,   31206,    -.05,    -.03,     .55
1,   31207,    -.05,     .03,     .25
1,   31208,    -.05,     .03,     .55
1,   31209,    -.03,    -.05,     .25
1,   31210,    -.03,    -.05,     .55
1,   31211,    -.03,     .05,     .25
1,   31212,    -.03,     .05,     .55
1,   31213,     .03,    -.05,     .25
1,   31214,     .03,    -.05,     .55
1,   31215,     .03,     .05,     .25
